gene_id,log2FoldChange,pvalue,padj,Regulation
YNCG0033W,-2.84911,0.001558074,0.006295765,Downregulated
YNCG0042C,-22.61706,1.600691e-9,3.949234e-8,Downregulated
YNCH0004C,-1.730748,2.34267e-6,2.432066e-5,Downregulated
YNCH0008W,-1.234371,0.005779394,0.01864459,Downregulated
YNCI0006W,-10.27939,1.29536e-4,7.766522e-4,Downregulated
YNCI0007C,-24.72902,1.059858e-14,7.781659e-13,Downregulated
YNCJ0008W,-5.354385,1.391658e-21,2.355767e-19,Downregulated
YNCJ0011W,-3.797442,0.00101753,0.004388414,Downregulated
YNCJ0021C,-23.42114,1.597051e-9,3.949234e-8,Downregulated
YNCK0002C,-1.472656,3.362575e-4,0.001732167,Downregulated
YNCK0003W,-1.69417,7.777109e-6,6.806972e-5,Downregulated
YNCK0014W,-24.06254,6.650305e-10,1.777498e-8,Downregulated
YNCK0020C,-1.391627,1.582496e-8,3.051814e-7,Downregulated
YNCL0001W,-7.098857,3.491519e-4,0.001790046,Downregulated
YNCL0007W,-5.6842,4.947744e-4,0.002398691,Downregulated
YNCL0009C,-4.474511,7.938514e-4,0.003570281,Downregulated
YNCL0041C,-1.104747,0.001465555,0.00599,Downregulated
YNCL0048W,-1.925407,4.239642e-7,5.544288e-6,Downregulated
YNCM0011W,-1.938455,4.4141e-6,4.189957e-5,Downregulated
YNCM0015W,-1.25578,5.510871e-5,3.786161e-4,Downregulated
YNCM0030W,-1.993102,5.826986e-10,1.599534e-8,Downregulated
YNCM0031W,-1.553493,1.152543e-6,1.305501e-5,Downregulated
YNCM0032C,-3.81234,9.65216e-10,2.524475e-8,Downregulated
YNCM0034C,-1.879222,1.198428e-10,3.784052e-9,Downregulated
YNCN0001W,-1.275556,4.757784e-5,3.306036e-4,Downregulated
YNCN0010C,-21.5381,3.04582e-8,5.557254e-7,Downregulated
YNCN0016C,-2.042389,3.328779e-4,0.001717661,Downregulated
YNCN0017W,-5.641978,5.091472e-4,0.002462495,Downregulated
YNCN0018W,-2.629654,1.405725e-11,5.791228e-10,Downregulated
YNCO0016W,-1.347834,0.004742332,0.01595791,Downregulated
YNCO0022C,-1.054993,9.113641e-4,0.003998454,Downregulated
YNCO0024C,-1.57968,8.238831e-6,7.111535e-5,Downregulated
YNCO0026W,-2.361346,1.125525e-10,3.609972e-9,Downregulated
YNCO0027C,-1.011667,0.002564571,0.009582156,Downregulated
YNCP0013C,-1.2536910000000001,6.937549e-5,4.59597e-4,Downregulated
YNCP0025W,-1.368654,6.663482e-8,1.091593e-6,Downregulated
YNCP0026W,-1.298522,8.741047e-9,1.793533e-7,Downregulated
